HCPCS_CPT_CODE|MODIFIER|FEE
22903||1348.05
22904||1348.05
22905||1348.05
23000||1348.05
23020||1771.19
23030||1348.05
23031||1348.05
23035||940.23
23040||1771.19
23044||1771.19
23065||149.48
23066||1348.05
23071||794.41
23073||1348.05
23075||794.41
23076||1348.05
23077||1348.05
23078||1348.05
23100||1771.19
23101||1771.19
23105||3937.76
23106||1771.19
23107||3937.76
23120||1771.19
23125||1771.19
23130||1771.19
23140||1771.19
23145||1771.19
23146||3937.76
23150||1771.19
23155||3937.76
23156||3937.76
23170||2284.65
23172||1771.19
23174||3937.76
23180||3937.76
23182||3937.76
23184||3937.76
23190||1771.19
23195||3937.76
23330||794.41
23333||1348.05
23334||1348.05
23395||5048.39
23397||3937.76
23400||3937.76
23405||3937.76
23406||3937.76
23410||3937.76
23412||3937.76
23415||3937.76
23420||3937.76
23430||5163.23
23440||3937.76
23450||3937.76
23455||5037.86
23460||4990.64
23462||3937.76
23465||3937.76
23466||3937.76
23470||10827.85
23472||16285.61
23480||3937.76
23485||9746.23
23490||3937.76
23491||9429.77
23500||144.61
23505||940.23
23515||5171.04
23520||940.23
23525||144.61
23530||3937.76
23532||3937.76
23540||144.61
23545||144.61
23550||5122.8
23552||5194.14
23570||144.61
23575||940.23
23585||5304.9
23600||144.61
23605||940.23
23615||10120.47
23616||15922.03
23620||144.61
23625||940.23
23630||5104.78
23650||144.61
23655||940.23
23660||3937.76
23665||940.23
23670||5098.67
23675||940.23
23680||9479.84
23700||940.23
23800||3937.76
23802||7439.86
23921||1100.39
23930||1348.05
23931||794.41
23935||1771.19
24000||1771.19
24006||1771.19
24065||193.38
24066||1348.05
24071||1348.05
24073||1348.05
24075||794.41
24076||1348.05
24077||1348.05
24079||1348.05
24100||1771.19
24101||1771.19
24102||1771.19
24105||1771.19
24110||1771.19
24115||3937.76
24116||4990.97
24120||1771.19
24125||1771.19
24126||5122.11
24130||1771.19
24134||3937.76
24136||1771.19
24138||3937.76
24140||1771.19
24145||3937.76
24147||1771.19
24149||3937.76
24152||5274.66
24155||1771.19
24160||1771.19
24164||1771.19
24200||166.17
24201||1348.05
24300||940.23
24301||3937.76
24305||1771.19
24310||1771.19
24320||3937.76
24330||3937.76
24331||3937.76
24332||1771.19
24340||3937.76
24341||3937.76
24342||3937.76
24343||1771.19
24344||5163.57
24345||3937.76
24346||7439.86
24357||1771.19
24358||1771.19
24359||1771.19
24360||5625.28
24361||15743.47
24362||10949.17
24363||16034.9
24365||10456.18
24366||10765.59
24370||10098.0
24371||15317.9
24400||3937.76
24410||7439.86
24420||3937.76
24430||10105.06
24435||10096.07
24470||1771.19
24495||3937.76
24498||10382.36
24500||144.61
24505||940.23
24515||9716.7
24516||9848.94
24530||144.61
24535||940.23
24538||3937.76
24545||10058.85
24546||10453.61
24560||144.61
24565||940.23
24566||940.23
24575||9523.49
24576||144.61
24577||940.23
24579||9518.36
24582||3937.76
24586||10073.61
24587||10070.4
24600||144.61
24605||940.23
24615||5132.99
24620||940.23
24635||5385.42
24640||65.3
24650||144.61
24655||940.23
24665||3937.76
24666||11127.62
24670||144.61
24675||940.23
24685||5060.96
24800||3937.76
24802||7439.86
24925||1771.19
25000||940.23
25001||1771.19
25020||940.23
25023||1771.19
25024||1771.19
25025||940.23
25028||1771.19
25031||940.23
25035||3937.76
25040||1771.19
25065||192.65
25066||1348.05
25071||794.41
25073||1348.05
25075||794.41
25076||794.41
25077||1348.05
25078||1348.05
25085||1771.19
25100||1771.19
25101||1771.19
25105||1771.19
25107||1771.19
25109||1771.19
25110||940.23
25111||940.23
25112||940.23
25115||940.23
25116||1771.19
25118||940.23
25119||1771.19
25120||1771.19
25125||940.23
25126||1771.19
25130||1771.19
25135||3937.76
25136||3937.76
25145||1771.19
25150||1771.19
25151||1771.19
25210||1771.19
25215||1771.19
25230||1771.19
25240||1771.19
25248||940.23
25250||940.23
25251||1771.19
25259||940.23
25260||1771.19
25263||3937.76
25265||1771.19
25270||1771.19
25272||1771.19
25274||1771.19
25275||1771.19
25280||1771.19
25290||1771.19
25295||1771.19
25300||1771.19
25301||1771.19
25310||1771.19
25312||1771.19
25315||3937.76
25316||3937.76
25320||3937.76
25332||2244.93
25335||1771.19
25337||5186.32
25350||5445.21
25355||1771.19
25360||3937.76
25365||7439.86
25370||1771.19
25375||1771.19
25390||5455.07
25391||10616.01
25392||3937.76
25393||5038.88
25394||1771.19
25400||5293.01
25405||5133.66
25415||4990.97
25420||4990.97
25425||6248.38
25426||2336.78
25430||1771.19
25431||5746.91
25440||3937.76
25441||11264.34
25442||16572.4
25443||5664.01
25444||12075.71
25445||5416.68
25446||16405.88
25447||1771.19
25448||1771.19
25449||3937.76
25450||1771.19
25455||1771.19
25490||3937.76
25491||9429.77
25492||1771.19
25500||144.61
25505||940.23
25515||5011.02
25520||940.23
25525||5220.98
25526||5363.68
25530||144.61
25535||144.61
25545||4966.18
25560||144.61
25565||940.23
25574||5313.39
25575||5278.4
25600||144.61
25605||940.23
25606||1771.19
25607||5338.2
25608||5343.63
25609||5372.17
25622||144.61
25624||940.23
25628||3937.76
25630||144.61
25635||940.23
25645||1771.19
25650||144.61
25651||1771.19
