HCPCS	EFF_DATE	RATE
81551	20250101	2030.0
81552	20250101	7776.0
81554	20250101	5445.0
81558	20250101	3240.0
81560	20250101	640.73
81595	20250101	3240.0
81596	20250101	72.19
82009	20250101	4.52
82010	20250101	8.17
82010	20250101	8.17
82013	20250101	12.29
82016	20250101	16.49
82017	20250101	16.87
82024	20250101	38.62
82030	20250101	25.8
82040	20250101	4.95
82040	20250101	4.95
82042	20250101	7.78
82042	20250101	7.78
82043	20250101	5.78
82043	20250101	5.78
82044	20250101	6.23
82044	20250101	6.23
82045	20250101	33.94
82075	20250101	30.0
82077	20250101	17.27
82085	20250101	9.71
82088	20250101	40.75
82103	20250101	13.44
82104	20250101	14.46
82105	20250101	16.77
82106	20250101	17.0
82107	20250101	64.41
82108	20250101	25.48
82120	20250101	5.99
82120	20250101	5.99
82127	20250101	14.18
82128	20250101	13.87
82131	20250101	22.98
82135	20250101	16.45
82136	20250101	19.61
82139	20250101	16.87
82140	20250101	14.57
82143	20250101	9.35
82150	20250101	6.48
82150	20250101	6.48
82154	20250101	28.83
82157	20250101	29.28
82160	20250101	25.55
82163	20250101	20.52
82164	20250101	14.6
82166	20250101	38.62
82172	20250101	21.09
82175	20250101	18.97
82180	20250101	9.89
82190	20250101	15.9
82232	20250101	16.18
82233	20250101	0.0
82234	20250101	0.0
82239	20250101	17.12
82240	20250101	26.58
82247	20250101	5.02
82247	20250101	5.02
82248	20250101	5.02
82252	20250101	4.56
82261	20250101	16.87
82270	20250101	4.38
82271	20250101	5.32
82271	20250101	5.32
82272	20250101	4.23
82274	20250101	15.92
82274	20250101	15.92
82286	20250101	5.16
82300	20250101	23.64
82306	20250101	29.6
82308	20250101	26.79
82310	20250101	5.16
82310	20250101	5.16
82330	20250101	13.68
82330	20250101	13.68
82331	20250101	13.34
82340	20250101	6.03
82355	20250101	11.58
82360	20250101	12.87
82365	20250101	12.9
82370	20250101	12.52
82373	20250101	18.06
82374	20250101	4.88
82374	20250101	4.88
82375	20250101	12.32
82376	20250101	14.07
82378	20250101	18.96
82379	20250101	16.87
82380	20250101	9.22
82382	20250101	27.3
82383	20250101	29.08
82384	20250101	25.25
82387	20250101	18.06
82390	20250101	10.74
82397	20250101	14.12
82415	20250101	12.67
82435	20250101	4.6
82435	20250101	4.6
82436	20250101	5.75
82438	20250101	5.0
82441	20250101	6.01
82465	20250101	4.35
82465	20250101	4.35
82480	20250101	7.87
82482	20250101	9.81
82485	20250101	20.65
82495	20250101	20.28
82507	20250101	27.8
82523	20250101	18.68
82523	20250101	18.68
82525	20250101	12.41
82528	20250101	22.52
82530	20250101	16.71
82533	20250101	16.3
82540	20250101	4.64
82542	20250101	24.09
82550	20250101	6.51
82550	20250101	6.51
82552	20250101	13.39
82553	20250101	11.55
82554	20250101	11.87
82565	20250101	5.12
82565	20250101	5.12
82570	20250101	5.18
82570	20250101	5.18
82575	20250101	9.46
82585	20250101	14.14
82595	20250101	6.47
82600	20250101	19.4
82607	20250101	15.08
82608	20250101	14.32
82610	20250101	18.52
82615	20250101	9.55
82626	20250101	25.27
82627	20250101	22.23
82633	20250101	30.98
82634	20250101	29.28
82638	20250101	12.25
82642	20250101	29.28
82652	20250101	38.5
82653	20250101	22.97
82656	20250101	11.53
82657	20250101	22.17
82658	20250101	44.03
82664	20250101	61.5
82668	20250101	18.79
82670	20250101	27.94
82671	20250101	32.3
82672	20250101	21.7
82677	20250101	24.18
82679	20250101	24.95
82679	20250101	24.95
82681	20250101	27.94
82693	20250101	14.9
82696	20250101	26.24
82705	20250101	5.1
82710	20250101	16.8
82715	20250101	22.97
82725	20250101	18.77
82726	20250101	19.75
82728	20250101	13.63
82731	20250101	64.41
82735	20250101	18.54
82746	20250101	14.7
82747	20250101	17.65
82757	20250101	17.34
82759	20250101	21.48
82760	20250101	11.2
82775	20250101	21.07
82776	20250101	11.74
82777	20250101	44.25
82784	20250101	9.3
82785	20250101	16.46
82787	20250101	8.02
82800	20250101	11.0
82803	20250101	26.07
82805	20250101	78.77
82810	20250101	9.77
82820	20250101	13.34
82930	20250101	6.71
82938	20250101	17.69
82941	20250101	17.63
82943	20250101	14.29
82945	20250101	3.93
82946	20250101	17.77
82947	20250101	3.93
82947	20250101	3.93
82948	20250101	5.04
82950	20250101	4.75
82950	20250101	4.75
82951	20250101	12.87
82951	20250101	12.87
82952	20250101	3.92
82952	20250101	3.92
82955	20250101	9.7
82960	20250101	6.05
82962	20250101	3.28
82963	20250101	21.48
82965	20250101	13.15
82977	20250101	7.2
82977	20250101	7.2
82978	20250101	15.45
82979	20250101	9.44
82985	20250101	16.76
82985	20250101	16.76
83001	20250101	18.58
83001	20250101	18.58
83002	20250101	18.52
83002	20250101	18.52
83003	20250101	16.67
83006	20250101	75.6
83009	20250101	67.36
83010	20250101	12.58
83012	20250101	26.89
83013	20250101	67.36
83014	20250101	7.86
83015	20250101	20.94
83018	20250101	21.96
83020	20250101	12.87
83021	20250101	18.06
83026	20250101	4.01
83030	20250101	10.74
83033	20250101	8.0
83036	20250101	9.71
83036	20250101	9.71
83037	20250101	9.71
83037	20250101	9.71
83045	20250101	6.49
83050	20250101	8.2
83051	20250101	7.31
83060	20250101	8.8
83065	20250101	9.0
83068	20250101	9.47
83069	20250101	3.95
83070	20250101	4.75
83080	20250101	16.87
83088	20250101	29.53
83090	20250101	17.92
83150	20250101	22.41
83491	20250101	17.9
83497	20250101	12.9
83498	20250101	27.17
83500	20250101	22.65
83505	20250101	24.3
83516	20250101	11.53
83516	20250101	11.53
83518	20250101	9.64
83518	20250101	9.64
83519	20250101	18.4
83520	20250101	17.27
83520	20250101	17.27
83521	20250101	17.27
83525	20250101	11.43
83527	20250101	12.95
83528	20250101	19.82
83529	20250101	17.27
83540	20250101	6.47
83550	20250101	8.74
83570	20250101	8.85
