SVC_CD|MODIFIER_1|MODIFIER_2|MODIFIER_3|MODIFIER_4|FEE|AS_OF_DATE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
A6594|||||33.14|10/1/24||||
A6595|||||32.59|10/1/24||||
A6596|||||0.17|10/1/24||||
A6597|||||1.47|10/1/24||||
A6598|||||0.71|10/1/24||||
A6599|||||1.61|10/1/24||||
A6600|||||2.9|10/1/24||||
A6601|||||3.26|10/1/24||||
A6602|||||4.76|10/1/24||||
A6603|||||2.23|10/1/24||||
A6604|||||1.3|10/1/24||||
A6605|||||1.49|10/1/24||||
A6606|||||4.42|10/1/24||||
A6607|||||1.18|10/1/24||||
A6608|||||4.92|10/1/24||||
A6610|||||214.01|10/1/24||||
A7000|NU||||9.8|10/1/24||||
A7000|NU|KE|||0.0|10/1/24||||
A7001|NU||||45.13|10/1/24||||
A7002|NU||||5.23|10/1/24||||
A7003|NU||||1.81|10/1/24||||
A7004|NU||||1.5|10/1/24||||
A7005|NU||||11.13|10/1/24||||
A7006|NU||||7.75|10/1/24||||
A7007|NU||||3.28|10/1/24||||
A7008|NU||||15.0|10/1/24||||
A7009|NU||||57.38|10/1/24||||
A7010|NU||||17.59|10/1/24||||
A7012|NU||||3.27|10/1/24||||
A7013|NU||||0.64|10/1/24||||
A7014|NU||||3.68|10/1/24||||
A7015|NU||||1.38|10/1/24||||
A7016|NU||||9.9|10/1/24||||
A7017|NU||||134.29|10/1/24||||
A7017|RR||||13.43|10/1/24||||
A7017|UE||||100.72|10/1/24||||
A7018|||||0.37|10/1/24||||
A7020|NU||||19.75|10/1/24||||
A7021|NU||||128.85|10/1/24||||
A7025|RR||||59.35|10/1/24||||
A7026|NU||||39.22|10/1/24||||
A7027|NU||||143.48|10/1/24||||
A7028|NU||||39.44|10/1/24||||
A7029|NU||||18.3|10/1/24||||
A7030|NU||||103.53|10/1/24||||
A7031|NU||||39.86|10/1/24||||
A7032|NU||||22.47|10/1/24||||
A7033|NU||||18.41|10/1/24||||
A7034|NU||||65.16|10/1/24||||
A7035|NU||||21.86|10/1/24||||
A7036|NU||||12.95|10/1/24||||
A7037|NU||||14.79|10/1/24||||
A7038|NU||||2.45|10/1/24||||
A7039|NU||||7.22|10/1/24||||
A7040|||||53.85|10/1/24||||
A7041|||||101.23|10/1/24||||
A7044|NU||||105.78|10/1/24||||
A7045|NU||||14.81|10/1/24||||
A7045|RR||||1.48|10/1/24||||
A7045|UE||||11.11|10/1/24||||
A7046|NU||||15.82|10/1/24||||
A7047|NU||||164.97|10/1/24||||
A7048|||||56.36|10/1/24||||
A7501|||||143.29|10/1/24||||
A7502|||||68.12|10/1/24||||
A7503|||||15.48|10/1/24||||
A7504|||||0.93|10/1/24||||
A7505|||||6.4|10/1/24||||
A7506|||||0.44|10/1/24||||
A7507|||||3.41|10/1/24||||
A7508|||||3.92|10/1/24||||
A7509|||||1.92|10/1/24||||
A7520|||||64.78|10/1/24||||
A7521|||||64.19|10/1/24||||
A7522|||||61.62|10/1/24||||
A7524|||||105.63|10/1/24||||
A7525|||||2.81|10/1/24||||
A7526|||||4.63|10/1/24||||
A7527|||||4.88|10/1/24||||
A8000|NU||||209.26|10/1/24||||
A8000|RR||||20.93|10/1/24||||
A8000|UE||||156.98|10/1/24||||
A8001|NU||||209.26|10/1/24||||
A8001|RR||||20.93|10/1/24||||
A8001|UE||||156.98|10/1/24||||
A8002|NU||||0.0|10/1/24||||
A8002|RR||||0.0|10/1/24||||
A8002|UE||||0.0|10/1/24||||
A8003|NU||||0.0|10/1/24||||
A8003|RR||||0.0|10/1/24||||
A8003|UE||||0.0|10/1/24||||
A8004|NU||||0.0|10/1/24||||
A8004|RR||||0.0|10/1/24||||
A8004|UE||||0.0|10/1/24||||
E0100|NU||||27.28|10/1/24||||
E0100|RR||||8.08|10/1/24||||
E0100|UE||||19.48|10/1/24||||
E0105|NU||||63.94|10/1/24||||
E0105|RR||||12.1|10/1/24||||
E0105|UE||||43.9|10/1/24||||
E0110|NU||||105.87|10/1/24||||
E0110|RR||||21.81|10/1/24||||
E0110|UE||||74.36|10/1/24||||
E0111|NU||||71.35|10/1/24||||
E0111|RR||||11.5|10/1/24||||
E0111|UE||||53.53|10/1/24||||
E0112|NU||||50.5|10/1/24||||
E0112|RR||||13.56|10/1/24||||
E0112|UE||||38.52|10/1/24||||
E0113|NU||||28.85|10/1/24||||
E0113|RR||||7.01|10/1/24||||
E0113|UE||||21.63|10/1/24||||
E0114|NU||||64.39|10/1/24||||
E0114|RR||||11.69|10/1/24||||
E0114|UE||||48.28|10/1/24||||
