SVC_CD|MODIFIER_1|FEE
27888||725.75
27889||725.75
27892||371.68
27893||363.13
27894||483.82
28001||176.76
28002||295.84
28003||799.43
28005||818.12
28008||263.81
28010||212.55
28011||277.15
28020||363.13
28022||272.89
28024||268.08
28035||532.42
28043||433.1
28046||946.3
28050||363.13
28052||241.38
28054||229.63
28060||363.13
28062||693.17
28070||363.13
28072||287.84
28080||235.5
28086||423.48
28088||332.69
28090||263.81
28092||261.68
28100||363.68
28102||423.48
28103||504.12
28104||295.31
28106||340.18
28107||567.13
28108||244.05
28110||269.15
28111||471.54
28112||285.17
28113||291.58
28114||725.75
28116||423.48
28118||423.48
28119||423.48
28120||397.31
28122||396.78
28124||299.59
28126||241.38
28130||605.06
28140||363.13
28150||268.62
28153||459.8
28160||251.52
28171||806.92
28173||820.81
28175||618.4
28190||177.84
28192||526.02
28193||313.47
28200||363.13
28202||483.82
28208||262.74
28210||360.46
28220||302.26
28222||363.13
28225||235.5
28226||262.74
28230||258.46
28232||240.85
28234||244.05
28238||471.54
28240||257.93
28250||363.13
28260||532.42
28261||605.06
28262||931.34
28264||725.75
28270||283.04
28272||237.64
28280||295.31
28285||290.51
28286||276.62
28288||288.37
28289||458.19
28292||423.48
28296||574.61
28297||574.61
28298||423.48
28299||792.49
28300||574.61
28302||543.11
28304||483.82
28305||612.0
28306||423.48
28307||666.47
28308||338.58
28309||1055.78
28310||308.67
28312||280.9
28313||571.94
28315||273.43
28320||848.03
28322||389.84
28340||683.02
28341||769.0
28344||459.27
28345||593.84
28360||1280.06
28400||232.23
28405||600.25
28406||652.05
28415||1319.58
28420||1340.4
28430||411.73
28435||259.54
28436||566.6
28445||605.06
28450||207.16
28455||208.81
28456||192.78
28465||704.38
28470||198.89
28475||222.16
28476||225.36
28485||673.41
28490||81.85
28495||94.53
28496||228.03
28505||552.72
28510||75.26
28515||88.65
28525||502.51
28530||237.11
28531||397.31
28540||158.07
28545||153.27
28546||202.92
28555||409.59
28570||169.82
28575||178.37
28576||251.52
28585||605.06
28600||187.98
28605||221.61
28606||467.27
28615||813.32
28630||87.58
28635||121.22
28636||213.08
28645||302.79
28660||128.69
28665||128.69
28666||281.96
28675||359.93
28705||1103.83
28715||857.64
28725||605.06
28730||665.4
28735||846.97
28737||544.17
28740||544.17
28750||429.36
28755||294.78
28760||374.88
28800||605.06
28805||605.06
28810||363.13
28820||327.36
28825||290.51
29000||310.81
29010||306.0
29015||288.9
29035||351.38
29040||275.56
29044||437.36
29046||444.85
29049||173.56
29055||289.45
29058||198.12
29065||132.97
29075||118.55
29085||119.63
29105||95.06
29125||75.84
29126||92.39
29130||32.04
29131||48.07
29200||50.2
29240||51.27
29260||40.58
29280||74.76
29305||355.13
29325||294.25
29345||174.09
29355||183.7
29358||197.59
29365||147.93
29405||122.3
29425||120.16
29435||187.45
29440||72.62
29445||195.98
29450||98.26
29505||98.8
29515||81.17
29520||43.26
29530||42.72
29540||25.1
29550||24.03
29580||38.99
29700||32.58
29705||41.65
29710||71.03
29720||129.24
29730||40.58
29740||104.67
29750||89.18
29826||605.06
29830||554.85
29834||589.57
29840||383.43
29843||521.75
29844||537.77
29845||653.66
29846||771.13
29847||618.94
29848||359.4
29850||692.1
29851||915.32
29855||915.32
29856||980.47
29860||560.74
29861||815.99
29862||869.93
29863||840.56
29870||399.45
29871||483.82
29874||654.19
29875||640.83
29876||747.64
29877||684.62
29879||733.75
29880||790.35
29881||790.35
29882||801.04
29883||836.81
29884||827.75
29885||886.49
29886||718.26
29887||886.49
29888||967.66
29889||967.66
29891||778.61
29892||812.79
29893||452.32
29894||605.06
30000||89.18
30020||94.53
30100||51.8
30110||97.73
30115||241.91
30117||325.75
30118||895.02
30120||534.03
30124||152.2
30125||698.51
30130||171.96
30140||342.31
30150||859.78
30160||901.97
30200||45.4
30210||71.03
30220||91.31
30300||80.64
30310||121.22
30320||477.96
30400||725.75
30410||1058.44
30420||1209.57
30430||337.5
30435||1060.58
30450||1477.65
30460||716.12
30462||1432.26
30465||1008.24
30520||534.03
30540||613.06
30545||1068.05
30560||80.64
30580||534.03
30600||472.08
30620||543.64
30630||700.12
30801||82.23
30802||117.49
30901||78.5
30903||94.53
30905||150.6
30906||170.35
30915||605.06
30920||924.4
30930||108.94
31000||79.04
31002||92.39
31020||181.57
31030||640.83
31032||640.83
31040||728.42
31050||587.43
31051||609.86
31070||534.03
31075||854.44
31080||1281.67
31081||1281.67
31084||1281.67
31085||1281.67
31086||1157.23
31087||1173.25
31090||1388.47
31200||363.13
31201||385.57
31205||786.09
31225||1451.48
31230||1451.48
31231||70.49
31233||119.63
31235||209.87
31237||146.85
31238||249.93
31239||650.97
31240||189.58
31254||342.85
31255||514.26
31256||242.99
31267||372.21
31276||484.37
31287||289.45
31288||338.05
31290||984.21
31291||1033.87
31292||797.84
31293||874.21
31294||1000.24
31300||967.66
31360||1572.7
31365||2056.54
31367||1572.7
31368||2056.54
31370||1814.63
31375||1209.57
31380||1209.57
31382||1209.57
31390||2908.85
31395||2875.74
31400||1113.98
31420||967.66
31500||84.92
31505||84.92
31510||107.87
31511||119.08
31512||115.35
31513||188.51
31515||100.92
31520||145.26
31525||241.91
31527||373.82
31528||320.42
31529||267.01
31530||320.42
31531||265.95
31535||320.42
31536||384.51
31540||320.42
31541||384.51
31560||801.04
31561||1163.11
31570||360.46
31575||110.55
31577||217.89
31579||225.36
31580||1226.13
31584||1727.58
31587||1394.35
31590||952.7
31600||288.37
31601||320.42
31603||152.73
31605||288.37
31610||471.01
31611||961.25
31612||106.81
31613||322.55
31614||453.93
31615||243.52
31622||236.58
31623||303.33
31624||306.0
31625||288.9
31628||302.26
31629||267.01
31630||320.42
31631||277.7
31635||299.06
31640||302.26
31641||302.26
31643||257.93
31645||213.61
31646||157.01
31717||335.36
31720||72.62
31725||63.54
31730||208.81
31750||689.43
31755||1765.49
31760||1714.22
31766||2496.57
31770||1856.82
31775||2113.67
31780||1492.61
31781||1609.02
31785||1602.08
31786||1814.63
31800||675.55
31805||1282.2
31820||297.45
31825||420.81
31830||363.13
32035||605.06
32036||605.06
32100||725.75
32110||967.66
32120||967.66
32124||846.97
32140||967.66
32141||967.66
32150||846.97
32151||846.97
32160||801.57
32200||846.97
32215||618.94
32220||1209.57
32225||846.97
32310||1209.57
32320||1609.02
32400||192.25
32440||1766.03
32442||1291.28
32445||1979.1
32480||1534.79
32482||1098.49
32484||1124.66
32486||1191.94
32488||1276.33
32501||309.73
32540||1209.57
32601||264.88
32604||382.9
32606||364.21
32650||560.19
32651||740.16
32652||1026.4
32653||694.77
32654||711.86
32655||803.18
32656||789.29
32658||766.33
32659||784.49
32661||674.47
32662||933.48
32663||1070.19
32664||735.36
32665||892.9
32800||1298.22
32810||1234.67
32815||2047.46
32820||1967.35
32852||3331.26
32853||3830.05
32854||4045.78
32900||901.97
32905||1817.3
32906||2152.66
32940||872.07
32960||93.98
33020||1109.71
33025||1111.32
33030||1683.25
33031||1936.91
33050||1003.97
33120||2670.14
33130||1258.17
33202||961.02
33203||987.71
33206||1068.05
33207||1068.05
33208||1068.05
33210||373.82
33211||251.52
33212||423.48
33213||510.53
33214||569.27
33216||640.83
33217||450.72
33218||302.26
33220||423.48
33222||441.11
33223||529.75
33233||223.22
33234||381.82
33235||464.07
33236||648.31
33237||970.86
33238||1083.0
33240||550.58
33241||215.22
33243||1285.41
33244||783.41
